timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0,gt_1,pred_1,gt_2,pred_2,gt_3,pred_3,gt_4,pred_4,gt_5,pred_5,gt_6,pred_6
0,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,45.235,,4.188,,49.269,,3.806,,-3.987,,-1.343,,14.2725,
1,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,45.654,,0.0,,48.706,,3.404,,-2.772,,0.0,,14.053,
2,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,42.47,,0.0,,46.562,,1.903,,-3.849,,-1.279,,13.833,
3,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,45.486,,0.0,,49.028,,2.841,,-3.849,,-1.279,,13.3935,
4,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,43.727,,0.0,,47.58,,2.091,,-3.849,,-1.279,,12.954,
5,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,41.465,,0.0,,45.409,,1.474,,-3.849,,0.0,,12.5145,
6,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,41.884,,0.0,,45.248,,0.0,,-3.849,,-1.247,,12.075,
7,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,45.402,,0.0,,48.438,,2.225,,-3.849,,-1.269,,11.6355,
8,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,43.308,,0.0,,46.562,,1.421,,-2.473,,-1.215,,11.1965,
9,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,45.905,,0.0,,48.518,,2.01,,-2.452,,0.0,,10.757,
10,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,44.816,,0.0,,47.285,,0.0,,-2.452,,0.0,,10.0975,
11,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,46.407,,0.0,,49.055,,1.448,,-2.495,,0.0,,9.6585,
12,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,47.245,,0.0,,51.065,,1.742,,-3.71,,-1.311,,9.2185,
13,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,47.748,,0.0,,51.011,,1.769,,-2.484,,0.0,,8.7795,
14,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,48.837,,0.0,,51.226,,1.421,,-2.484,,0.0,,8.3395,
15,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,52.69,,0.0,,54.55,,2.305,,-2.484,,0.0,,7.9005,
16,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,51.852,,0.0,,54.416,,2.52,,-2.484,,0.0,,7.9005,
17,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,52.271,,4.523,,55.113,,2.841,,-2.591,,0.0,,7.4605,
18,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,54.03,,5.11,,55.622,,2.922,,-1.226,,0.0,,7.4605,
19,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,52.69,,5.194,,54.255,,3.351,,-1.375,,0.0,,7.0215,
20,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,54.784,,5.529,,55.381,,3.243,,0.0,,0.0,,7.0215,
21,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,56.46,,6.45,,57.793,,4.289,,-1.269,,0.0,,7.0215,
22,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,52.774,,4.691,,56.426,,3.914,,-3.763,,-1.258,,6.8015,
23,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,52.187,,5.11,,55.327,,3.94,,-3.763,,0.0,,6.582,
24,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,41.214,50.929028,0.0,3.8558316,42.139,53.969658,1.876,3.6495287,0.0,-2.4892888,0.0,-0.11447698,5.7035,6.3950834
25,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,41.633,48.048523,0.0,2.0855076,43.023,51.279587,2.52,2.2969882,-1.226,-2.8210776,0.0,-0.3412879,5.4835,7.1827726
26,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,42.889,47.588634,4.188,1.9376714,43.345,50.598473,2.868,2.150205,0.0,-2.696443,0.0,-0.2269693,5.2635,5.8499107
27,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,41.549,47.84749,0.0,1.9634547,42.862,50.872715,2.252,2.194571,-1.311,-2.582216,0.0,-0.16848367,5.2635,5.880322
28,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,42.303,47.85663,0.0,2.024291,43.05,50.71856,2.198,2.1997983,0.0,-2.51567,0.0,-0.087510586,5.2635,5.662095
29,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,41.968,47.28694,0.0,2.0925968,43.264,49.968502,2.037,2.2713537,0.0,-2.5046477,0.0,-0.02096361,5.2635,5.465923
30,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,40.795,46.38057,0.0,1.935487,42.809,48.950962,2.144,2.1192772,-2.74,-2.4891343,0.0,-0.034438968,5.2635,5.3037133
31,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,39.622,44.778103,0.0,1.6740061,41.227,47.580723,1.93,2.0155196,-1.311,-2.6084394,0.0,-0.14033914,5.044,5.583185
32,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,37.193,44.04978,0.0,1.7563245,39.619,47.07341,0.0,2.0321815,-2.996,-2.7175355,0.0,-0.27413222,5.044,6.1294456
33,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,38.114,43.844284,0.0,1.7761852,40.182,46.921524,0.0,2.0274482,-1.748,-2.6956108,0.0,-0.24843192,4.8245,6.4962
34,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,42.303,43.27082,0.0,1.6462512,43.72,46.556263,2.305,2.0602126,0.0,-2.7330024,0.0,-0.28001612,4.6045,6.219382
35,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,43.559,43.26004,0.0,1.7732191,44.256,46.602528,1.93,2.1960492,0.0,-2.8495502,0.0,-0.39189437,4.6045,6.2242355
36,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,42.805,43.356678,0.0,1.8673437,44.739,46.77972,1.662,2.2740943,-1.503,-2.805079,0.0,-0.37664598,4.3845,6.424081
37,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,43.476,43.102116,0.0,1.7950487,45.034,46.57408,1.823,2.2981138,0.0,-2.6597464,0.0,-0.35062242,4.3845,6.4159384
38,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,41.214,42.57706,0.0,1.766064,41.79,46.127922,0.0,2.2767158,0.0,-2.5217712,0.0,-0.3073909,4.165,6.3358088
39,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,39.371,42.115303,0.0,1.7073019,41.066,45.847893,0.0,2.2074025,-1.354,-2.443647,0.0,-0.19525859,3.9455,6.5479803
40,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,39.957,41.5426,0.0,1.5824547,43.506,45.57021,0.0,2.0858035,-2.889,-2.4289274,0.0,-0.12496498,3.9455,6.456656
41,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,44.983,41.248924,0.0,1.432956,48.116,45.55808,3.029,2.0175505,-2.889,-2.5431163,0.0,-0.17935413,3.9455,6.4311857
42,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,46.072,40.921772,4.607,1.2137424,50.154,45.404324,4.262,1.9039253,-4.105,-2.655066,-1.418,-0.2524412,4.165,6.354795
43,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,46.659,40.762344,5.194,1.0486429,50.824,45.308346,4.718,1.8050818,-4.105,-2.7075524,-1.418,-0.27275777,4.6045,6.032772
44,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,47.329,40.675186,5.696,0.922983,51.199,45.165386,5.12,1.7352846,-4.105,-2.7368965,-1.418,-0.27171198,5.2635,5.576218
45,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,48.25,40.49104,5.864,0.7744677,51.869,44.92356,5.227,1.6741977,-4.105,-2.81296,-1.418,-0.31665945,5.7035,5.403715
46,ETTm2,Autoformer,none,24,24,0.0,2023,avg,False,none,49.088,40.0958,6.199,0.62960696,52.915,44.546013,5.388,1.6047429,-4.105,-2.9007654,-1.418,-0.36343652,6.582,5.5327225
